STATUS CODE,CLOSE/OPEN,AREA CHECK POINT,GROUPING,TRIGGER STATUS,IDENTIFIKASI,DESCRIPTION,DEFINISI (Bahasa Indonesia),DISPLAYED AT ORION,-,DISPLAYED AT WEBSITE,-.1,DISPLAYED AT MYJNE,SMS NOTIFICATION SCRIPT,STATUS POD,STATUS FOLLOW UP
OS,,UNDEL,UNDELIVERED / FAIL DELIVERY,,RUNSHEET (DRI),OUT OF YES SERVICE AREA,OUT OF YES SERVICE AREA,,,,,,,CLOSE / IRREG,
OC,,UNDEL,UNDELIVERED / FAIL DELIVERY,,RUNSHEET (DRI),DESTINATION CORRECTION,DESTINATION CORRECTION,,,,,,,CLOSE / IRREG,
UB1,,UNDEL,UNDELIVERED / FAIL DELIVERY,,RUNSHEET (DRI),LOCKER BOX FULL,LOCKER BOX FULL,,,,,,,CLOSE / SUKSES,
UB2,,UNDEL,UNDELIVERED / FAIL DELIVERY,,RUNSHEET (DRI),OVER 3 DAYS IN LOCKER BOX,MELAMPAUI 3 HARI,,,,,,,CLOSE / SUKSES,
DB1,CLOSE,DELIVERY,PROOF OF DELIVERY,,RUNSHEET (DRI),READY TO PICK UP AT LOCKER BOX,KIRIMAN SUDAH DI LOCKER BOX,,,,,,,CLOSE / SUKSES,
DB2,, DELIVERY,PROOF OF DELIVERY,,RUNSHEET (DRI),RECEIVED BY CONSIGNEE FROM LOCKER BOX,KIRIMAN SUDAH DIAMBIL DARI LOCKER BOX,,,,,,,CLOSE / SUKSES,
R01,CLOSE,DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),YANG BERSANGKUTAN,KIRIMAN RETURN DITERIMA SESUAI NAMA PENGIRIM YANG TERCANTUM DI RESI PENGIRIMAN,RETURN SHIPMENT RECEIVED BY SHIPPER,,RETURN SHIPMENT RECEIVED BY SHIPPER,,,,CLOSE / RETURN,
R02,CLOSE,DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),RECEPTIONIST,KIRIMAN RETURN DITERIMA OLEH RESESPSIONIS/PENERIMA TAMU,RETURN SHIPMENT RECEIVED BY RECEPSIONIST,,RETURN SHIPMENT RECEIVED BY RECEPSIONIST,,,,CLOSE / RETURN,
R03,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),SEKRETARIS,KIRIMAN RETURN DITERIMA OLEH SEKRETARIS,RETURN SHIPMENT RECEIVED BY SECRETARY,,RETURN SHIPMENT RECEIVED BY SECRETARY,,,,CLOSE / RETURN,
R04,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),SECURITY,KIRIMAN RETURN DITERIMA OLEH PETUGAS KEAMANAN,RETURN SHIPMENT RECEIVED BY SECURITY OFFICER,,RETURN SHIPMENT RECEIVED BY SECURITY OFFICER,,,,CLOSE / RETURN,
R05,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),MAILING ROOM,KIRIMAN RETURN DITERIMA OLEH PETUGAS MAILING ROOM,RETURN SHIPMENT RECEIVED BY MAILING ROOM OFFICER,,RETURN SHIPMENT RECEIVED BY MAILING ROOM OFFICER,,,,CLOSE / RETURN,
R06,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),SUAMI/ISTRI/ANAK,KIRIMAN RETURN DITERIMA OLEH KELUARGA INTI,RETURN SHIPMENT RECEIVED BY IMMEDIATE FAMILY,,RETURN SHIPMENT RECEIVED BY IMMEDIATE FAMILY,,,,CLOSE / RETURN,
R07,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),PEMBANTU,KIRIMAN RETURN DITERIMA OLEH ASISTEN RUMAH TANGGA,RETURN SHIPMENT RECEIVED BY HOUSE KEEPER,,RETURN SHIPMENT RECEIVED BY HOUSE KEEPER,,,,CLOSE / RETURN,
R08,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),PENJAGA KOS,KIRIMAN RETURN DITERIMA OLEH PENJAGA KOS ATAU PEMILIK KOS,RETURN SHIPMENT RECEIVED BY BOARDING HOUSE KEEPER,,RETURN SHIPMENT RECEIVED BY BOARDING HOUSE KEEPER,,,,CLOSE / RETURN,
R09,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),KELUARGA/SAUDARA,KIRIMAN RETURN DITERIMA OLEH KELUARGA/SAUDARA YANG SERUMAH,RETURN SHIPMENT RECEIVED BY FAMILY,,RETURN SHIPMENT RECEIVED BY FAMILY,,,,CLOSE / RETURN,
R10,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),ATASAN/STAFF/KARYAWAN/BAWAHAN,"KIRIMAN RETURN DITERIMA OLEH TEMAN SEKANTOR, STAFF SEKANTOR",RETURN SHIPMENT RECEIVED BY OFFICE COLLEAGUE,,RETURN SHIPMENT RECEIVED BY OFFICE COLLEAGUE,,,,CLOSE / RETURN,
R11,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),SUPIR,KIRIMAN RETURN DITERIMA OLEH SUPIR,RETURN SHIPMENT RECEIVED BY DRIVER,,RETURN SHIPMENT RECEIVED BY DRIVER,,,,CLOSE / RETURN,
R12,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),OFFICE BOY,KIRIMAN RETURN DITERIMA OLEH OFFICE BOY,RETURN SHIPMENT RECEIVED BY OFFICE BOY,,RETURN SHIPMENT RECEIVED BY OFFICE BOY,,,,CLOSE / RETURN,
R13,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),AGENT PENGIRIMAN,KIRIMAN DI RETUR KE AGEN TEMPAT PENGIRIMAN,RETURN SHIPMENT RECEIVED BY DELIVERY AGENT,,RETURN SHIPMENT RECEIVED BY DELIVERY AGENT,,,,CLOSE / RETURN,
R24,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),KIRIMAN RETURN RUSAK ,KIRIMAN RETURN RUSAK DITERIMA OLEH JNE ,RETURN SHIPMENT  DAMAGE RECEIVED BY JNE,,SHIPMENT PROBLEM,,,,CLOSE / RETURN,
R26,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),MARKETPLACE,KIRIMAN RETURN DITERIMA OLEH  MARKETPLACE,RETURN SHIPMENT RECEIVED BY   MARKETPLACE,,RETURN SHIPMENT RECEIVED BY   MARKETPLACE,,,,CLOSE / RETURN,IT
R25,CLOSE, DELIVERY,PROOF OF DELIVERY / RETURN TO SHIPPER,,RUNSHEET (DRI),KIRIMAN RETURN BREACH ,KIRIMAN RETURN BREACH DITERIMA OLEH JNE,RETURN SHIPMENT BREACH RECEIVED BY JNE,,SHIPMENT PROBLEM,,,,CLOSE / RETURN,
U01,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),ALAMAT TIDAK LENGKAP/ TIDAK DIKENAL,KEKURANGAN DATA ALAMAT / SALAH ALAMAT ,INCOMPLETE CONSIGNEE ADDRESS,,INCOMPLETE CONSIGNEE ADDRESS,,,,CLOSE / UNDEL,
U02,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),PENERIMA TIDAK DI KENAL,ALAMAT SESUAI TETAPI NAMA PENERIMA TIDAK DIKENAL,"COMPLETE ADDRESS, BUT CONSIGNEE UNKNOWN",,"COMPLETE ADDRESS, BUT CONSIGNEE UNKNOWN",,,,CLOSE / UNDEL,
U03,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),PENERIMA PINDAH ALAMAT,ALAMAT SESUAI TETAPI PENERIMA SUDAH PINDAH ALAMAT,"
HOME/OFFICE ADDRESS ALREADY MATCH,BUT CONSIGNEE MOVED ",,"
HOME/OFFICE ADDRESS ALREADY MATCH,BUT CONSIGNEE MOVED ",,,,CLOSE / UNDEL,
U04,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),PENERIMA MENINGGAL DUNIA,ALAMAT SESUAI TETAPI PENERIMA MENINGGAL DUNIA,CONSIGNEE HAS PASSED AWAY,,CONSIGNEE HAS PASSED AWAY,,,,CLOSE / UNDEL,
U05,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),RUMAH /KANTOR KOSONG (MASIH DIHUNI),"SELURUH PENGHUNI RUMAH TIDAK ADA DI TEMPAT, SELURUH PENGHUNI KANTOR SUDAH PULANG (SETELAH JAM KERJA)",NOBODY AT HOME / OFFICE TO RECEIVE SHIPMENT,,NOBODY AT HOME / OFFICE TO RECEIVE SHIPMENT,,,,CLOSE / UNDEL,
U06,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),DITOLAK OLEH PENERIMA (NON COD),PENERIMA TIDAK BERSEDIA MENERIMA KIRIMAN KARENA TIDAK SESUAI ,CONSIGNEE REFUSE TO RECEIVE SHIPMENT ,,CONSIGNEE REFUSE TO RECEIVE SHIPMENT ,,,,CLOSE / UNDEL,
U07,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),RUMAH /KANTOR TIDAK DIHUNI,ALAMAT SESUAI TETAPI RUMAH/KANTOR KOSONG TIDAK DIDIAMI,NOT INHABITED,,NOT INHABITED,,,,CLOSE / UNDEL,
U08,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),PENERIMA MENOLAK BAYAR (KIRIMAN COD),PENERIMA MENOLAK BAYAR BIAYA KIRIMAN / NILAI BARANG KIRIMAN COD,CONSIGNEE REFUSE TO PAY COD SHIPMENT/SHIPMENT FEE,,CONSIGNEE REFUSE TO PAY COD SHIPMENT/SHIPMENT FEE,,,,CLOSE / UNDEL,
U09,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),TUTUP PADA AKHIR PEKAN/ HARI LIBUR (NON COD),KANTOR TUTUP PADA AKHIR PEKAN / HARI LIBUR NASIONAL,"
OFFICE CLOSED DURING WEEKEND/ NATIONAL HOLIDAY",,"
OFFICE CLOSED DURING WEEKEND/NATIONAL HOLIDAY",,,,CLOSE / UNDEL,
U10,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),FORCE MAJEURE,"PERISTIWA ALAM YANG DAMPAKNYA DAPAT MENGAKIBATKAN POPULASI MANUSIA TERANCAM (BANJIR, GEMPA, LETUSAN GUNUNG, TSUNAMI, TANAH LONGSOR, ANGIN TOPAN/PUTTING BELIUNG, KEBAKARAN HUTAN) SEHINGGA KEGIATAN PENGANTARAN TIDAK DAPAT DILAKUKAN",NO ACCESS DUE TO FORCE MAJEURE,,NO ACCESS DUE TO FORCE MAJEURE,,,,CLOSE / UNDEL,
U11,OPEN - IRREGULARITY, DELIVERY,UNDEL - IRREGULARITY,,RUNSHEET (DRI),DAMAGE CASE,"KIRIMAN RUSAK, MENUNGGU INSTRUKSI UNTUK PROSES LEBIH LANJUT","SHIPMENT DAMAGE, WAITING FOR FURTHER INSTRUCTION",,SHIPMENT PROBLEM,,,,CLOSE / UNDEL,
U12,OPEN - IRREGULARITY, DELIVERY,UNDEL - IRREGULARITY,,RUNSHEET (DRI),MISROUTE,KIRIMAN SALAH AREA TUJUAN ,SHIPMENT SHIPPED TO WRONG DESTINATION,,SHIPMENT PROBLEM,,,,CLOSE / UNDEL,
U13,OPEN - IRREGULARITY, DELIVERY,UNDEL - IRREGULARITY,,RUNSHEET (DRI),CRISS-CROSS,TERTUKARNYA DUA KIRIMAN ATAU LEBIH DIKARENAKAN KESALAHAN PENEMPELAN RESI PENGIRIMAN,SHIPMENTS ARE CRISSCROSSED,,SHIPMENT PROBLEM,,,,CLOSE / UNDEL,
U14,CLOSE - MISSING, DELIVERY,UNDEL - IRREGULARITY,,RUNSHEET (DRI),MISSING,KIRIMAN HILANG DAN TIDAK DAPAT DITEMUKAN ,SHIPMENT LOST (NO SHOW),,SHIPMENT PROBLEM,,,,CLOSE / IRREG,
U21,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),PENERIMA MENOLAK MENERIMA KIRIMAN COD (TDK PESAN),PENERIMA TIDAK BERSEDIA MENERIMA KIRIMAN  COD  KARENA TIDAK MELAKUKAN PEMESANAN,RECIPIENTS REFUSED TO RECEIVE COD SHIPMENT (NOT ORDER),,RECIPIENTS REFUSED TO RECEIVE COD SHIPMENT (NOT ORDER),,,,CLOSE / UNDEL,
U22,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),LIBUR CUTI/DINAS LUAR KOTA (KIRIMAN COD),PENUNDAAN PROSES PENGIRIMAN KIRIMAN COD DI KARENAKAN PENERIMA TIDAK DITEMPAT,CLOSED/NOT  AVAILABLE  (COD SHIPMENT),,CLOSED/NOT AVAILABLE (COD SHIPMENT),,,,CLOSE / UNDEL,
U23,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),TUTUP LIBUR AKHIR PEKAN (KIRIMAN COD),PENUNDAAN PROSES PENGIRIMAN KIRIMAN COD DI KARENAKAN TUTUP PADA HARI LIBUR AKHIR PEKAN,CLOSED ON WEEKEND (COD SHIPMENT),,CLOSED ON WEEKEND (COD SHIPMENT),,,,CLOSE / UNDEL,
U24,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),MENUNGGU KONFIRMASI NILAI COD,PENUNDAAN PROSES PENGIRIMAN DI KARENAKAN TERJADI PERBEDAAN DATA JUMLAH NOMINAL COD ,WAITING FOR COD AMOUNT CONFIRMATION,,WAITING FOR COD AMOUNT CONFIRMATION,,,,CLOSE / UNDEL,
U25,OPEN, DELIVERY,UNDELIVERED,,RUNSHEET (DRI),MENUNGGU PEMBAYARAN COD,PENUNDAAN PROSES PENGIRIMAN DI KARENAKAN UANG COD BELUM SIAP SAAT KURIR DATANG,WAITING COD PAYMENT FROM CONSIGNEE,,WAITING COD PAYMENT FROM CONSIGNEE,,,,CLOSE / UNDEL,
DP5,OPEN, DELIVERY,DELIVERY PROBLEM,,RUNSHEET (DRI),COURIER ACCIDENT,"PETUGAS KURIR MENGALAMI KENDALA (KURIR MENGALAMI KECELAKAAN, KENDARAAN MENGALAMI KERUSAKAN TIDAK DIGUNAKAN KEMBALI, ANGGOTA KELUARGA SAKIT) ",COURIER ACCIDENT,Y,DELIVERY PROBLEM,Y,Y,,CLOSE / IRREG,
RC1,,SCO,PICK UP PROCESS,,SCO,RECEIVED AT COUNTER ,KIRIMAN DITERIMA OLEH PETUGAS COUNTER JNE ,SHIPMENT RECEIVED BY JNE COUNTER OFFICER AT [CITY],,SHIPMENT RECEIVED BY JNE COUNTER OFFICER AT [CITY],,,,,
RC2,,PICKUP,PICK UP PROCESS,,PICKUP,RECEIVED AT ORIGIN OFFICE,KIRIMAN DITERIMA DI KANTOR OPERASIONAL KOTA ASAL (KHUSUS PENGIRIMAN PROJECT),SHIPMENT RECEIVED AT JNE ORIGIN OPERATIONAL OFFICE (ONLY APPLY FOR PROJECT'S SHIPMENT),,SHIPMENT RECEIVED AT JNE ORIGIN OPERATIONAL OFFICE (ONLY APPLY FOR PROJECT'S SHIPMENT),,,,,
S01,,PICKUP,PICK UP SUCCESS,,PROPOSE DI FUNGSI DASHBOARD PICKUP,SHIPMENT PICKED UP SUCCESS,KIRIMAN BERHASIL DIAMBIL DARI PENGIRIM,PICK UP SUCCESS,,PICK UP SUCCESS,,,,,
F01,,PICKUP,PICK UP FAILURE ,,PROPOSE DI FUNGSI DASHBOARD PICKUP,SHIPMENT NOT READY,KIRIMAN BELUM SIAP DIAMBIL,Performance Pickup dapat dilihat di Dashboard Pickup,,"Belum di gunakan, menunggu integrasi antara booking order dan display status",,,,,IT
F02,,PICKUP,PICK UP FAILURE ,,PROPOSE DI FUNGSI DASHBOARD PICKUP,ADDRESS CLOSED,ALAMAT TUTUP   ,,,"Belum di gunakan, menunggu integrasi antara booking order dan display status",,,,,IT
F03,,PICKUP,PICK UP FAILURE ,,PROPOSE DI FUNGSI DASHBOARD PICKUP,ADDRESS MOVED,ALAMAT PINDAH,,,"Belum di gunakan, menunggu integrasi antara booking order dan display status",,,,,IT
F04,,PICKUP,PICK UP FAILURE ,,PROPOSE DI FUNGSI DASHBOARD PICKUP,INCOMPLETE ADDRESS,ALAMAT PENGIRIM TIDAK DITEMUKAN ,,,"Belum di gunakan, menunggu integrasi antara booking order dan display status",,,,,IT
F05,,PICKUP,PICK UP FAILURE ,,PROPOSE DI FUNGSI DASHBOARD PICKUP,CANCEL ORDER,PERMINTAAN PENJEMPUTAN/PENGIRIMAN DIBATALKAN OLEH PENGIRIM,,,"Belum di gunakan, menunggu integrasi antara booking order dan display status",,,,,IT
F06,,PICKUP,PICK UP FAILURE ,,PROPOSE DI FUNGSI DASHBOARD PICKUP,FORCE MAJEURE,"KEJADIAN YANG TERJADI DILUAR KEMAMPUAN MANUSIA DAN TIDAK DAPAT DIHINDARKAN SEHINGGA KEGIATAN PENGAMBILAN TIDAK DAPAT DILAKSANAKAN (Karena bencana alam seperti: banjir, tanah longsor, badai, gunung meletus,kebakaran) ",,,"Belum di gunakan, menunggu integrasi antara booking order dan display status",,,,,IT
F07,,PICKUP,PICK UP FAILURE ,,PROPOSE DI FUNGSI DASHBOARD PICKUP,MISS PICK UP,KIRIMAN TIDAK BERHASIL DI AMBIL DARI PENGIRIM KARENA KENDALA INTERNAL,,,"Belum di gunakan, menunggu integrasi antara booking order dan display status",,,,,IT
PS3,OPEN,OUTBOUND,PROBLEM SHIPMENT,,PROPOSE DI FUNGSI MODULE IRREG,CRISS-CROSS,TERTUKARNYA DUA KIRIMAN ATAU LEBIH DIKARENAKAN KESALAHAN PENEMPELAN RESI PENGIRIMAN ,SHIPMENTS ARE CRISSCROSSED,Y,SHIPMENT PROBLEM,Y,Y,,,IT
PS4,CLOSE,OUTBOUND,PROBLEM SHIPMENT,,PROPOSE DI FUNGSI MODULE IRREG,MISSING,KIRIMAN HILANG DAN TIDAK DAPAT DITEMUKAN ,SHIPMENT MISSING,Y,SHIPMENT PROBLEM,Y,Y,,CLOSE,IT
PS5,,OUTBOUND,PROBLEM SHIPMENT,,PROPOSE DI FUNGSI MODULE IRREG,SHIPMENT REPACKING,"KIRIMAN RUSAK, DI PROSES PACKING ULANG",SHIPMENT REPACKING,Y,SHIPMENT PROBLEM,Y,Y,,CLOSE,
PS6,,OUTBOUND,PROBLEM SHIPMENT,,PROPOSE DI FUNGSI MODULE IRREG,KIRIMAN RETURN RUSAK ,KIRIMAN RETURN RUSAK DITERIMA OLEH PENGIRIM,RETURN SHIPMENT  DAMAGE RECEIVED BY SHIPPER,,SHIPMENT PROBLEM,,,,CLOSE / RETURN,
HL5,,INBOUND ,"HOLD 
PROCESS ",,PROPOSE DI FUNGSI INBOUND MANIFEST,FORCE MAJEURE,"KEJADIAN YANG TERJADI DILUAR KEMAMPUAN MANUSIA DAN TIDAK DAPAT DIHINDARKAN SEHINGGA KEGIATAN PENGANTARAN TIDAK DAPAT DILAKSANAKAN (Karena bencana alam seperti: banjir, tanah longsor, badai, gunung meletus,kebakaran) ",NO ACCESS DUE TO FORCE MAJEURE,Y,NO ACCESS DUE TO FORCE MAJEURE,Y,Y,,CLOSE / UNDEL,IT
HL6,,INBOUND ,"HOLD 
PROCESS ",,PROPOSE DI FUNGSI INBOUND MANIFEST,SHIPPED TO WRONG DESTINATION,KESALAHAN PENULISAN KOTA TUJUAN ,SHIPMENT SHIPPED TO WRONG DESTINATION,Y,SHIPMENT PROBLEM,Y,Y,,CLOSE / IRREG,IT
C01,,CUSTOMER SERVICE,STATUS CLAIM,,PROPOSE DI FUNGSI MODULE IRREG,CLAIM MISSING PROCESS,PROSES PENGGANTIAN KIRIMAN HILANG YANG SUDAH DIBAYARKAN KE PELANGGAN,CLAIM MISSING ALREADY PAID,Y,-,N,N,,CLOSE / CLAIM,IT
C03,,CUSTOMER SERVICE,STATUS CLAIM,,PROPOSE DI FUNGSI MODULE IRREG,CLAIM OVER SLA PREMIUM SERVICE ALREADY PAID,"PROSES PENGGANTIAN KIRIMAN TERLAMBAT (DIPLOMAT,SS,YES) YANG SUDAH DIBAYARKAN KE PELANGGAN",CLAIM OVER SLA ALREADY PAID,Y,-,N,N,,CLOSE / CLAIM,IT
C04,,CUSTOMER SERVICE,STATUS CLAIM,,PROPOSE DI FUNGSI MODULE IRREG,REFUND FREIGHT CHARGED,"PROSES PENGEMBALIAN ONGKOS KIRIM UNTUK KIRIMAN PENDING  YANG SUDAH DIBAYARKAN (TIDAK LOLOS X-RAY, BEDA BERAT, BEDA HARGA, LOLOS PACKING KAYU, KIRIMAN CANCEL)",CLAIM ALREADY PAID,Y,-,N,N,,CLOSE / CLAIM,IT
C05,,CUSTOMER SERVICE,STATUS CLAIM,,PROPOSE DI FUNGSI MODULE IRREG,PROSES PEMBAYARAN PERMINTAAN KOMPENSASI KIRIMAN TERLAMBAT,PROSES PEMBAYARAN PERMINTAAN KOMPENSASI KIRIMAN TERLAMBAT,CLAIM OVER SLA ALREADY PAID,Y,-,N,N,,CLOSE / CLAIM,IT
C06,,CUSTOMER SERVICE,STATUS CLAIM,,PROPOSE DI FUNGSI MODULE IRREG,PROSES PEMBATALAN CLAIM YG SUDAH PERNAH DIAJUKAN,PROSES PEMBATALAN CLAIM YG SUDAH PERNAH DIAJUKAN,CLAIM CANCELLED,Y,-,N,N,,CLOSE / CLAIM,IT
CL3,OPEN - AUTOCLOSE,CUSTOMER SERVICE,AUTO CLOSE,,RUNSHEET (DRI),AUTO CLOSE UN INBOUND,,,,,N,N,,CLOSE / IRREG,
D99,, DELIVERY,PROOF OF DELIVERY,,RUNSHEET (DRI),KIRIMAN BREACH LAZADA (21 HARI AFTER PRAPOSTING) APPROVAL IT(SDH DI BAYAR JNE KE LAZADA). PERTANGGUNG JAWABAN DI DESTINASI (BISA RUNSHEET ULANG) DUE DATE 14 HARI.,KIRIMAN BREACH DITERIMA OLEH JNE,SHIPMENT BREACH RECEIVED BY JNE,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
D27,, DELIVERY,PROOF OF DELIVERY,,RUNSHEET (DRI),KIRIMAN BREACH COD BOXME,KIRIMAN BREACH DITERIMA OLEH JNE,KIRIMAN BREACH DITERIMA OLEH JNE,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
D28,, DELIVERY,PROOF OF DELIVERY,,RUNSHEET (DRI),KIRIMAN BREACH COD SENHONG,KIRIMAN BREACH DITERIMA OLEH JNE,KIRIMAN BREACH DITERIMA OLEH JNE,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
D29,, DELIVERY,PROOF OF DELIVERY,,RUNSHEET (DRI),KIRIMAN BREACH COD DIGITAL COMMERCE INDONESIA,KIRIMAN BREACH DITERIMA OLEH JNE,KIRIMAN BREACH DITERIMA OLEH JNE,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
D30,, DELIVERY,PROOF OF DELIVERY,,RUNSHEET (DRI),KIRIMAN BREACH COD HAISTAR,KIRIMAN BREACH DITERIMA OLEH JNE,KIRIMAN BREACH DITERIMA OLEH JNE,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
D31,, DELIVERY,PROOF OF DELIVERY,,RUNSHEET (DRI),KIRIMAN BREACH COD MEESHO,KIRIMAN BREACH DITERIMA OLEH JNE,KIRIMAN BREACH DITERIMA OLEH JNE,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
D32,, DELIVERY,PROOF OF DELIVERY,,RUNSHEET (DRI),KIRIMAN BREACH COD SHOPEE,KIRIMAN BREACH DITERIMA OLEH JNE,KIRIMAN BREACH DITERIMA OLEH JNE,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
D33,, DELIVERY,PROOF OF DELIVERY,,RUNSHEET (DRI),KIRIMAN BREACH COD SORABEL,KIRIMAN BREACH DITERIMA OLEH JNE,KIRIMAN BREACH DITERIMA OLEH JNE,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
D34,, DELIVERY,PROOF OF DELIVERY,,RUNSHEET (DRI),KIRIMAN BREACH COD ZALORA,KIRIMAN BREACH DITERIMA OLEH JNE,KIRIMAN BREACH DITERIMA OLEH JNE,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
D35,, DELIVERY,PROOF OF DELIVERY,,RUNSHEET (DRI),KIRIMAN BREACH COD BLI-BLI,KIRIMAN BREACH DITERIMA OLEH JNE,KIRIMAN BREACH DITERIMA OLEH JNE,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
WH5,,UNDEL,HANDOVER UNDEL WEREHOUSE HOLD,,WUS,HANDOVER SHIPMENT COD LAZADA FROM PIC UNDEL TO PIC WAREHOUSE,SERAH TERIMA KIRIMAN COD LAZADA OVER SLA DARI TIM UNDEL KE PIC UNDEL WAREHOUSE,SHIPMENT COD LAZADA RECEIVED AT UNDEL WAREHOUSE DESTINATION ,,,,,,CLOSE / RETURN,
PU2,,PICKUP,PICK UP SUCCESS,,,PICKED UP BY COURIER WITHOUT CONNOTE,KIRIMAN DIJEMPUT OLEH PETUGAS KURIR TANPA DILENGKAPI RESI PENGIRIMAN (KHUSUS UNTUK CUSTOMER CORPORATE),SHIPMENT PICKED UP BY COURIER WITHOUT CONNOTE (ONLY APPLY FOR CORPPORATE CUSTOMERS),,SHIPMENT PICKED UP BY COURIER WITHOUT CONNOTE (ONLY APPLY FOR CORPPORATE CUSTOMERS),,,,,
OP1,,OUTBOUND,SHIPPED,,,DITERIMA DI SORTING CENTER ,PROSES PENYERAHAN KIRIMAN DARI PETUGAS PICK UP KEPADA PETUGAS CHECKER OUTBOUND,RECEIVED AT SORTING CENTER [CITY],,RECEIVED AT SORTING CENTER [CITY],,,,,
OP2,,OUTBOUND,SHIPPED,,,OUTBOUND MANIFEST ,PROSES PEMBUATAN DATA KIRIMAN YANG AKAN DIBERANGKATKAN ,PROCESSED AT SORTING CENTER [CITY],,PROCESSED AT SORTING CENTER [CITY],,,,,
TP1,,OUTBOUND,SHIPPED,,,ISSUED SURAT MUATAN ,PENERBITAN/PENCETAKAN SURAT MUATAN (UDARA/DARAT/LAUT),RECEIVED AT ORIGIN GATEWAY [CITY],,RECEIVED AT ORIGIN GATEWAY [CITY],,,,,
TP2,,"TRANSPORT
 ",SHIPPED,,,SERAH TERIMA KE TRANSPORTER,PROSES SERAH TERIMA KIRIMAN KEPADA TRANSPORTER PIHAK KE-3 (TIGA) UNTUK DIANGKUT KE KOTA TUJUAN / TRANSIT,DEPARTED FROM ORIGIN GATEWAY [CITY],,DEPARTED FROM ORIGIN GATEWAY [CITY],,,,,
TP3,,"TRANSPORT
 ",SHIPPED,,,DITERIMA DI ST TRANSIT,PROSES SERAH TERIMA KIRIMAN DARI TRANSPORTER PIHAK KE-3 (TIGA) KEPADA PETUGAS INCOMING DI KOTA TRANSIT,RECEIVED AT TRANSIT [CITY],,RECEIVED AT TRANSIT [CITY],,,,,
TP4,,"TRANSPORT
 ",SHIPPED,,,MANIFEST TRANSIT ,PROSES PEMBUATAN DATA KIRIMAN YANG AKAN DIBERANGKATKAN DARI KOTA TRANSIT,DEPARTED FROM TRANSIT [CITY],,DEPARTED FROM TRANSIT [CITY],,,,,
