SYSCODE,CODE,REGIONAL,KABUPATEN,KECAMATAN,STATUS,THREE LETTER CODE,MANIFEST DOMESTIC,MANIFEST INTERCITY,ZONA TARIF (PPDD),ZONA DELEVERY (QCE),RING ORIGIN,WILAYAH
CGK10000,CGK,JAKARTA,DKI Jakarta,Jakarta,CABANG UTAMA,CGK,CGK10000,CGK10000,A,A,RING 1,
CGK10100,CGK,JAKARTA,Jakarta Barat,Jakarta Barat,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10101,CGK,JAKARTA,Jakarta Barat,Grogol Petamburan,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10102,CGK,JAKARTA,Jakarta Barat,Kalideres,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10103,CGK,JAKARTA,Jakarta Barat,Kebon Jeruk,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10104,CGK,JAKARTA,Jakarta Barat,Kembangan,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10105,CGK,JAKARTA,Jakarta Barat,Palmerah,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10106,CGK,JAKARTA,Jakarta Barat,Taman Sari,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10107,CGK,JAKARTA,Jakarta Barat,Tambora,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10108,CGK,JAKARTA,Jakarta Barat,Cengkareng,,CGK-BRT,CGK10000,CGK10000,A,A,RING 1,
CGK10200,CGK,JAKARTA,Jakarta Selatan,Jakarta Selatan,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10201,CGK,JAKARTA,Jakarta Selatan,Jagakarsa,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10202,CGK,JAKARTA,Jakarta Selatan,Kebayoran Baru,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10203,CGK,JAKARTA,Jakarta Selatan,Kebayoran Lama,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10204,CGK,JAKARTA,Jakarta Selatan,Mampang Prapatan,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10205,CGK,JAKARTA,Jakarta Selatan,Pancoran,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10206,CGK,JAKARTA,Jakarta Selatan,Pasar Minggu,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10207,CGK,JAKARTA,Jakarta Selatan,Pesanggrahan,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10208,CGK,JAKARTA,Jakarta Selatan,Setia Budi,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10209,CGK,JAKARTA,Jakarta Selatan,Tebet,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10211,CGK,JAKARTA,Jakarta Selatan,Cilandak,,CGK-SLT,CGK10000,CGK10000,A,A,RING 1,
CGK10300,CGK,JAKARTA,Jakarta Pusat,Jakarta Pusat,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10301,CGK,JAKARTA,Jakarta Pusat,Cempaka Putih,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10302,CGK,JAKARTA,Jakarta Pusat,Gambir,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10303,CGK,JAKARTA,Jakarta Pusat,Johar Baru,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10304,CGK,JAKARTA,Jakarta Pusat,Kemayoran,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10305,CGK,JAKARTA,Jakarta Pusat,Menteng,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10306,CGK,JAKARTA,Jakarta Pusat,Sawah Besar,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10307,CGK,JAKARTA,Jakarta Pusat,Senen,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10308,CGK,JAKARTA,Jakarta Pusat,Tanah Abang,,CGK-PST,CGK10000,CGK10000,A,A,RING 1,
CGK10400,CGK,JAKARTA,Jakarta Utara,Jakarta Utara,,CGK-UTR,CGK10000,CGK10000,A,A,RING 1,
CGK10401,CGK,JAKARTA,Jakarta Utara,Kelapa Gading,,CGK-UTR,CGK10000,CGK10000,A,A,RING 1,
CGK10402,CGK,JAKARTA,Jakarta Utara,Koja,,CGK-UTR,CGK10000,CGK10000,A,A,RING 1,
CGK10403,CGK,JAKARTA,Jakarta Utara,Pademangan,,CGK-UTR,CGK10000,CGK10000,A,A,RING 1,
CGK10404,CGK,JAKARTA,Jakarta Utara,Penjaringan,,CGK-UTR,CGK10000,CGK10000,A,A,RING 1,
CGK10405,CGK,JAKARTA,Jakarta Utara,Tanjung Priok,,CGK-UTR,CGK10000,CGK10000,A,A,RING 1,
CGK10406,CGK,JAKARTA,Jakarta Utara,Cilincing,,CGK-UTR,CGK10000,CGK10000,A,A,RING 1,
CGK10500,CGK,JAKARTA,Jakarta Timur,Jakarta Timur,,CGK-TMR,CGK10000,CGK10000,A,A,RING 1,
CGK10501,CGK,JAKARTA,Jakarta Timur,Cakung,,CGK-TMR,CGK10000,CGK10000,A,A,RING 1,
CGK10502,CGK,JAKARTA,Jakarta Timur,Cipayung,,CGK-TMR,CGK10000,CGK10000,A,A,RING 1,
CGK10503,CGK,JAKARTA,Jakarta Timur,Ciracas,,CGK-TMR,CGK10000,CGK10000,A,A,RING 1,
CGK10504,CGK,JAKARTA,Jakarta Timur,Duren Sawit,,CGK-TMR,CGK10000,CGK10000,A,A,RING 1,
CGK10505,CGK,JAKARTA,Jakarta Timur,Jatinegara,,CGK-TMR,CGK10000,CGK10000,A,A,RING 1,
CGK10506,CGK,JAKARTA,Jakarta Timur,Kramat Jati,,CGK-TMR,CGK10000,CGK10000,A,A,RING 1,
CGK10507,CGK,JAKARTA,Jakarta Timur,Makasar,,CGK-TMR,CGK10000,CGK10000,A,A,RING 1,
CGK10508,CGK,JAKARTA,Jakarta Timur,Matraman,,CGK-TMR,CGK10000,CGK10000,A,A,RING 1,
CGK10509,CGK,JAKARTA,Jakarta Timur,Pasar Rebo,,CGK-TMR,CGK10000,CGK10000,A,A,RING 1,
CGK10510,CGK,JAKARTA,Jakarta Timur,Pulo Gadung,,CGK-TMR,CGK10000,CGK10000,A,A,RING 1,
CGK10600,CGK,JAKARTA,Pulau Pramuka,Pulau Pramuka,,CGK-TMR,CGK10000,CGK10000,B,B,RING 2,
CGK10601,CGK,JAKARTA,Kepulauan Seribu,Kepulauan Seribu Selatan,,CGK-TMR,CGK10000,CGK10000,B,B,RING 2,
CGK10602,CGK,JAKARTA,Kepulauan Seribu,Kepulauan Seribu Utara,,CGK-TMR,CGK10000,CGK10000,B,B,RING 2,
BKI10000,BKI,BODETABEKCILCIK,Kota Bekasi ,Bekasi,CABANG UTAMA,BKI,BKI10000,BKI10000,A,A,RING 1,
BKI10002,BKI,BODETABEKCILCIK,Bekasi,Bantar Gebang,,BKI-KRS,BKI10000,BKI10000,A,A,RING 1,
BKI10039,BKI,BODETABEKCILCIK,Bekasi,Bekasi Barat,,BKI-KRS,BKI10000,BKI10000,A,A,RING 1,
BKI10040,BKI,BODETABEKCILCIK,Bekasi,Bekasi Selatan,,BKI-KRS,BKI10000,BKI10000,A,A,RING 1,
BKI10041,BKI,BODETABEKCILCIK,Bekasi,Bekasi Timur,,BKI-KRS,BKI10000,BKI10000,A,A,RING 1,
BKI10042,BKI,BODETABEKCILCIK,Bekasi,Bekasi Utara,,BKI-KRS,BKI10000,BKI10000,A,A,RING 1,
BKI10043,BKI,BODETABEKCILCIK,Bekasi,Jatiasih,,BKI-JTA,BKI10000,BKI10000,A,A,RING 1,
BKI10044,BKI,BODETABEKCILCIK,Bekasi,Jati Sampurna,,BKI-JTA,BKI10000,BKI10000,A,A,RING 1,
BKI10045,BKI,BODETABEKCILCIK,Bekasi,Medan Satria,,BKI-KRS,BKI10000,BKI10000,A,A,RING 1,
BKI10046,BKI,BODETABEKCILCIK,Bekasi,Mustika Jaya,,BKI-KRS,BKI10000,BKI10000,A,A,RING 1,
BKI10047,BKI,BODETABEKCILCIK,Bekasi,Pondok Gede,,BKI-JTA,BKI10000,BKI10000,A,A,RING 1,
BKI10048,BKI,BODETABEKCILCIK,Bekasi,Pondok Melati,,BKI-JTA,BKI10000,BKI10000,A,A,RING 1,
BKI10049,BKI,BODETABEKCILCIK,Bekasi,Rawalumbu,,BKI-KRS,BKI10000,BKI10000,A,A,RING 1,
BKI10121,BKI,BODETABEKCILCIK,Bekasi,Tambun Utara,,BKI-KRS,BKI10000,BKI10000,A,A,RING 1,
BKI10122,BKI,BODETABEKCILCIK,Bekasi,Tarumajaya,,BKI-KRS,BKI10000,BKI10000,A,A,RING 1,
BKI10123,BKI,BODETABEKCILCIK,Bekasi,Babelan,,BKI-KRS,BKI10000,BKI10000,A,A,RING 1,
BOO10000,BOO,BODETABEKCILCIK,Kota Bogor,Bogor,CABANG UTAMA,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO10026,BOO,BODETABEKCILCIK,Bogor,Bogor Barat - Kota,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO10027,BOO,BODETABEKCILCIK,Bogor,Bogor Selatan - Kota,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO10028,BOO,BODETABEKCILCIK,Bogor,Bogor Tengah - Kota,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO10029,BOO,BODETABEKCILCIK,Bogor,Bogor Timur - Kota,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO10030,BOO,BODETABEKCILCIK,Bogor,Bogor Utara - Kota,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO10031,BOO,BODETABEKCILCIK,Bogor,Tanah Sereal,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20100,BOO,BODETABEKCILCIK,Bogor,Cibinong,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20120,BOO,BODETABEKCILCIK,Bogor,Caringin,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20121,BOO,BODETABEKCILCIK,Bogor,Cariu,,BOO - CLS,BOO20127,BOO10000,A,A,RING 1,
BOO20122,BOO,BODETABEKCILCIK,Bogor,Ciawi,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20123,BOO,BODETABEKCILCIK,Bogor,Ciampea,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20124,BOO,BODETABEKCILCIK,Bogor,Cibungbulang,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20125,BOO,BODETABEKCILCIK,Bogor,Cigudeg,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20126,BOO,BODETABEKCILCIK,Bogor,Cijeruk,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20127,BOO,BODETABEKCILCIK,Bogor,Cileungsi,,BOO - CLS,BOO20127,BOO10000,A,A,RING 1,
BOO20128,BOO,BODETABEKCILCIK,Bogor,Ciomas,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20129,BOO,BODETABEKCILCIK,Bogor,Cisarua,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20130,BOO,BODETABEKCILCIK,Bogor,Citeureup,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20131,BOO,BODETABEKCILCIK,Bogor,Dramaga,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20132,BOO,BODETABEKCILCIK,Bogor,Gunung Sindur,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20133,BOO,BODETABEKCILCIK,Bogor,Jasinga,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20134,BOO,BODETABEKCILCIK,Bogor,Jonggol,,BOO - CLS,BOO20127,BOO10000,A,A,RING 1,
BOO20135,BOO,BODETABEKCILCIK,Bogor,Leuwiliang,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20136,BOO,BODETABEKCILCIK,Bogor,Megamendung,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20137,BOO,BODETABEKCILCIK,Bogor,Nanggung,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20138,BOO,BODETABEKCILCIK,Bogor,Parung,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20139,BOO,BODETABEKCILCIK,Bogor,Parung Panjang,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20140,BOO,BODETABEKCILCIK,Bogor,Rumpin,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20141,BOO,BODETABEKCILCIK,Bogor,Tenjo,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20142,BOO,BODETABEKCILCIK,Bogor,Babakan Madang,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20143,BOO,BODETABEKCILCIK,Bogor,Bojonggede,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20144,BOO,BODETABEKCILCIK,Bogor,Cigombong,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20145,BOO,BODETABEKCILCIK,Bogor,Ciseeng,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20146,BOO,BODETABEKCILCIK,Bogor,Kemang,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20147,BOO,BODETABEKCILCIK,Bogor,Klapanunggal,,BOO - CLS,BOO20127,BOO10000,A,A,RING 1,
BOO20148,BOO,BODETABEKCILCIK,Bogor,Leuwisadeng,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20149,BOO,BODETABEKCILCIK,Bogor,Pamijahan,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20150,BOO,BODETABEKCILCIK,Bogor,Ranca Bungur,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20151,BOO,BODETABEKCILCIK,Bogor,Sukajaya,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20152,BOO,BODETABEKCILCIK,Bogor,Sukamakmur,,BOO - CLS,BOO20127,BOO10000,A,A,RING 1,
BOO20153,BOO,BODETABEKCILCIK,Bogor,Sukaraja,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20154,BOO,BODETABEKCILCIK,Bogor,Tajurhalang,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20155,BOO,BODETABEKCILCIK,Bogor,Tamansari,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20156,BOO,BODETABEKCILCIK,Bogor,Tanjungsari,,BOO - CLS,BOO20127,BOO10000,A,A,RING 1,
BOO20157,BOO,BODETABEKCILCIK,Bogor,Tenjolaya,,BOO,BOO10000,BOO10000,A,A,RING 1,
BOO20159,BOO,BODETABEKCILCIK,Bogor,Gunung Putri,,BOO - CLS,BOO20127,BOO10000,A,A,RING 1,
CKR10000,CKR,BODETABEKCILCIK,Cikarang,Cikarang,CABANG UTAMA,CKR,CKR10000,CKR10000,A,A,RING 1,
CKR10001,CKR,BODETABEKCILCIK,Bekasi,Cikarang Barat,,CKR,CKR10000,CKR10000,A,A,RING 1,
CKR10002,CKR,BODETABEKCILCIK,Bekasi,Cikarang Pusat,,CKR,CKR10000,CKR10000,A,A,RING 1,
CKR10003,CKR,BODETABEKCILCIK,Bekasi,Cikarang Selatan,,CKR,CKR10000,CKR10000,A,A,RING 1,
CKR10004,CKR,BODETABEKCILCIK,Bekasi,Cikarang Timur,,CKR-SKN,CKR10014,CKR10000,A,A,RING 1,
CKR10005,CKR,BODETABEKCILCIK,Bekasi,Cikarang Utara,,CKR,CKR10000,CKR10000,A,A,RING 1,
CKR10006,CKR,BODETABEKCILCIK,Bekasi,Cabangbungin,,CKR-SKN,CKR10014,CKR10000,A,A,RING 1,
CKR10007,CKR,BODETABEKCILCIK,Bekasi,Cibarusah,,CKR,CKR10000,CKR10000,A,A,RING 1,
CKR10008,CKR,BODETABEKCILCIK,Bekasi,Cibitung,,CKR,CKR10000,CKR10000,A,A,RING 1,
CKR10009,CKR,BODETABEKCILCIK,Bekasi,Kedung Waringin,,CKR-SKN,CKR10014,CKR10000,A,A,RING 1,
CKR10010,CKR,BODETABEKCILCIK,Bekasi,Muara Gembong,,CKR-SKN,CKR10014,CKR10000,A,A,RING 1,
CKR10011,CKR,BODETABEKCILCIK,Bekasi,Pebayuran,,CKR-SKN,CKR10014,CKR10000,A,A,RING 1,
CKR10012,CKR,BODETABEKCILCIK,Bekasi,Serang Baru,,CKR,CKR10000,CKR10000,A,A,RING 1,
CKR10013,CKR,BODETABEKCILCIK,Bekasi,Setu,,CKR,CKR10000,CKR10000,A,A,RING 1,
CKR10014,CKR,BODETABEKCILCIK,Bekasi,Sukatani,,CKR-SKN,CKR10014,CKR10000,A,A,RING 1,
CKR10015,CKR,BODETABEKCILCIK,Bekasi,Tambelang,,CKR-SKN,CKR10014,CKR10000,A,A,RING 1,
CKR10016,CKR,BODETABEKCILCIK,Bekasi,Karangbahagia,,CKR-SKN,CKR10014,CKR10000,A,A,RING 1,
CKR10017,CKR,BODETABEKCILCIK,Bekasi,Sukakarya,,CKR-SKN,CKR10014,CKR10000,A,A,RING 1,
CKR10018,CKR,BODETABEKCILCIK,Bekasi,Sukawangi,,CKR-SKN,CKR10014,CKR10000,A,A,RING 1,
CKR10019,CKR,BODETABEKCILCIK,Bekasi,Bojongmangu,,CKR,CKR10000,CKR10000,A,A,RING 1,
CKR10020,CKR,BODETABEKCILCIK,Bekasi,Tambun Selatan,,CKR,CKR10000,CKR10000,A,A,RING 1,
CLG10000,CLG,BODETABEKCILCIK,Kota Cilegon,Cilegon,CABANG UTAMA,CLG,CLG10000,CLG10000,A,A,RING 1,
CLG10004,CLG,BODETABEKCILCIK,Cilegon,Pulomerak,,CLG,CLG10000,CLG10000,A,A,RING 1,
CLG10037,CLG,BODETABEKCILCIK,Cilegon,Cibeber,,CLG,CLG10000,CLG10000,A,A,RING 1,
CLG10039,CLG,BODETABEKCILCIK,Cilegon,Citangkil,,CLG,CLG10000,CLG10000,A,A,RING 1,
CLG10040,CLG,BODETABEKCILCIK,Cilegon,Ciwandan,,CLG,CLG10000,CLG10000,A,A,RING 1,
CLG10041,CLG,BODETABEKCILCIK,Cilegon,Gerogol,,CLG,CLG10000,CLG10000,A,A,RING 1,
CLG10042,CLG,BODETABEKCILCIK,Cilegon,Jombang,,CLG,CLG10000,CLG10000,A,A,RING 1,
CLG10043,CLG,BODETABEKCILCIK,Cilegon,Purwakarta,,CLG,CLG10000,CLG10000,A,A,RING 1,
CLG20100,CLG,BODETABEKCILCIK,Kab. Pandeglang,Pandeglang,CABANG,CLG-PDL,CLG20100,CLG20100,B,B,RING 2,
CLG20101,CLG,BODETABEKCILCIK,Pandeglang,Banjar,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20103,CLG,BODETABEKCILCIK,Pandeglang,Bojong,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20105,CLG,BODETABEKCILCIK,Cadas Sari,Cadas Sari,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20106,CLG,BODETABEKCILCIK,Pandeglang,Cibaliung,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20108,CLG,BODETABEKCILCIK,Pandeglang,Cikeusik,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20109,CLG,BODETABEKCILCIK,Pandeglang,Cimanggu,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20110,CLG,BODETABEKCILCIK,Pandeglang,Cimanuk,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20112,CLG,BODETABEKCILCIK,Pandeglang,Jiput,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20113,CLG,BODETABEKCILCIK,Pandeglang,Labuan,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20114,CLG,BODETABEKCILCIK,Pandeglang,Mandalawangi,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20115,CLG,BODETABEKCILCIK,Pandeglang,Menes,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20116,CLG,BODETABEKCILCIK,Pandeglang,Munjul,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20118,CLG,BODETABEKCILCIK,Pandeglang,Pagelaran,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20120,CLG,BODETABEKCILCIK,Pandeglang,Saketi,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20121,CLG,BODETABEKCILCIK,Pandeglang,Sumur,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20122,CLG,BODETABEKCILCIK,Pandeglang,Angsana,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20123,CLG,BODETABEKCILCIK,Pandeglang,Carita,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20124,CLG,BODETABEKCILCIK,Pandeglang,Cibitung,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20125,CLG,BODETABEKCILCIK,Pandeglang,Cigeulis,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20126,CLG,BODETABEKCILCIK,Pandeglang,Cikeudal (Cikedal),,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20128,CLG,BODETABEKCILCIK,Pandeglang,Cipeucang,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20129,CLG,BODETABEKCILCIK,Pandeglang,Cisata,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20130,CLG,BODETABEKCILCIK,Pandeglang,Kaduhejo,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20131,CLG,BODETABEKCILCIK,Karangtanjung,Karangtanjung,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20133,CLG,BODETABEKCILCIK,Pandeglang,Panimbang,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20134,CLG,BODETABEKCILCIK,Pandeglang,Patia,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20135,CLG,BODETABEKCILCIK,Pandeglang,Picung,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20136,CLG,BODETABEKCILCIK,Pandeglang,Sukaresmi,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20137,CLG,BODETABEKCILCIK,Pandeglang,Koroncong,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20138,CLG,BODETABEKCILCIK,Pandeglang,Mekarjaya,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20139,CLG,BODETABEKCILCIK,Pandeglang,Pulosari,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20140,CLG,BODETABEKCILCIK,Pandeglang,Sindangresmi,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20141,CLG,BODETABEKCILCIK,Pandeglang,Sobang,,CLG-LAB,CLG20100,CLG20100,C,C,RING 2,
CLG20142,CLG,BODETABEKCILCIK,Pandeglang,Cadasari,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20143,CLG,BODETABEKCILCIK,Pandeglang,Karang Tanjung,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20144,CLG,BODETABEKCILCIK,Pandeglang,Majasari,,CLG-PDL,CLG20100,CLG20100,C,C,RING 2,
CLG20200,CLG,BODETABEKCILCIK,Kab. Lebak,Rangkasbitung,CABANG,CLG-RKS,CLG20200,CLG20200,B,B,RING 2,
CLG20201,CLG,BODETABEKCILCIK,Lebak,Banjarsari,,CLG-MLP,CLG20200,CLG20200,C,C,RING 2,
CLG20202,CLG,BODETABEKCILCIK,Lebak,Bayah,,CLG-MLP,CLG20200,CLG20200,C,C,RING 2,
CLG20203,CLG,BODETABEKCILCIK,Lebak,Bojongmanik,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20204,CLG,BODETABEKCILCIK,Lebak,Cibadak,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20205,CLG,BODETABEKCILCIK,Lebak,Cibeber,,CLG-MLP,CLG20200,CLG20200,C,C,RING 2,
CLG20206,CLG,BODETABEKCILCIK,Lebak,Cijaku,,CLG-MLP,CLG20200,CLG20200,C,C,RING 2,
CLG20207,CLG,BODETABEKCILCIK,Lebak,Cikulur,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20208,CLG,BODETABEKCILCIK,Lebak,Cileles,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20209,CLG,BODETABEKCILCIK,Lebak,Cimarga,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20210,CLG,BODETABEKCILCIK,Lebak,Cipanas,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20211,CLG,BODETABEKCILCIK,Lebak,Gunung Kencana,,CLG-MLP,CLG20200,CLG20200,C,C,RING 2,
CLG20212,CLG,BODETABEKCILCIK,Lebak,Leuwidamar,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20213,CLG,BODETABEKCILCIK,Lebak,Maja,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20214,CLG,BODETABEKCILCIK,Lebak,Malingping,,CLG-MLP,CLG20200,CLG20200,C,C,RING 2,
CLG20215,CLG,BODETABEKCILCIK,Lebak,Muncang,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20216,CLG,BODETABEKCILCIK,Lebak,Panggarangan,,CLG-MLP,CLG20200,CLG20200,C,C,RING 2,
CLG20217,CLG,BODETABEKCILCIK,Lebak,Sajira,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20218,CLG,BODETABEKCILCIK,Lebak,Wanasalam,,CLG-MLP,CLG20200,CLG20200,C,C,RING 2,
CLG20219,CLG,BODETABEKCILCIK,Lebak,Warunggunung,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20221,CLG,BODETABEKCILCIK,Lebak,Curugbitung,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20223,CLG,BODETABEKCILCIK,Lebak,Sobang,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20224,CLG,BODETABEKCILCIK,Lebak,Cigemblong,,CLG-MLP,CLG20200,CLG20200,C,C,RING 2,
CLG20225,CLG,BODETABEKCILCIK,Lebak,Cihara,,CLG-MLP,CLG20200,CLG20200,C,C,RING 2,
CLG20226,CLG,BODETABEKCILCIK,Lebak,Cilograng,,CLG-MLP,CLG20200,CLG20200,C,C,RING 2,
CLG20227,CLG,BODETABEKCILCIK,Lebak,Cirinten,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20228,CLG,BODETABEKCILCIK,Lebak,Kalanganyar,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20229,CLG,BODETABEKCILCIK,Lebak,Lebakgedong,,CLG-RKS,CLG20200,CLG20200,C,C,RING 2,
CLG20300,CLG,BODETABEKCILCIK,Serang,Serang,,CLG-SEG,CLG10000,CLG10000,A,A,RING 1,
CLG20310,CLG,BODETABEKCILCIK,Serang,Curug,,CLG-SEG,CLG10000,CLG10000,A,A,RING 1,
CLG20312,CLG,BODETABEKCILCIK,Serang,Kasemen,,CLG-SEG,CLG10000,CLG10000,A,A,RING 1,
CLG20323,CLG,BODETABEKCILCIK,Serang,Taktakan,,CLG-SEG,CLG10000,CLG10000,A,A,RING 1,
CLG20327,CLG,BODETABEKCILCIK,Serang,Walantaka,,CLG-SEG,CLG10000,CLG10000,A,A,RING 1,
CLG20328,CLG,BODETABEKCILCIK,Serang,Cipocok Jaya,,CLG-SEG,CLG10000,CLG10000,A,A,RING 1,
