SYSCODE,CODE,REGIONAL,KABUPATEN,KECAMATAN,STATUS,THREE LETTER CODE,MANIFEST DOMESTIC,MANIFEST INTERCITY,ZONA TARIF (PPDD),ZONA DELEVERY (QCE),RING ORIGIN,WILAYAH
MES20724,MES,SUMATERA,Labuhanbatu Selatan,Torgamba,,MES-KPI,MES20704,MES20704,C,C,RING 2,SUM-UT
MES20800,MES,SUMATERA,Kab. Karo,Kabanjahe,CABANG,MES-KBJ,MES10000,MES20800,B,B,RING 2,SUM-UT
MES20801,MES,SUMATERA,Karo,Barus Jahe,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20802,MES,SUMATERA,Karo,Brastagi (Berastagi),,MES-BTA,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20803,MES,SUMATERA,Karo,Juhar,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20804,MES,SUMATERA,Karo,Kuta Buluh,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20805,MES,SUMATERA,Karo,Laubaleng,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20806,MES,SUMATERA,Karo,Mardinding,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20807,MES,SUMATERA,Karo,Merek,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20808,MES,SUMATERA,Karo,Munte,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20809,MES,SUMATERA,Karo,Payung,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20810,MES,SUMATERA,Karo,Simpang Empat,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20811,MES,SUMATERA,Karo,Tiga Binanga,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20812,MES,SUMATERA,Karo,Tiga Panah,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20814,MES,SUMATERA,Karo,Tiganderket,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20815,MES,SUMATERA,Karo,Nama Teran,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20816,MES,SUMATERA,Karo,Merdeka,,MES-BTA,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20817,MES,SUMATERA,Karo,Dolat Rayat,,MES-KBJ,MES10000,MES20800,C,C,RING 2,SUM-UT
MES20900,MES,SUMATERA,Langkat,Stabat,CABANG,MES-STB,MES10000,MES20900,B,B,RING 2,SUM-UT
MES20901,MES,SUMATERA,Langkat,Babalan,,MES-STB,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20902,MES,SUMATERA,Langkat,Besitang,,MES-STB,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20903,MES,SUMATERA,Langkat,Gebang,,MES-STB,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20904,MES,SUMATERA,Langkat,Hinai,,MES-STB,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20905,MES,SUMATERA,Langkat,Padang Tualang,,MES-STB,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20906,MES,SUMATERA,Langkat,Pangkalan Susu,,MES-STB,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20907,MES,SUMATERA,Langkat,Secanggang,,MES-STB,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20908,MES,SUMATERA,Langkat,Tanjungpura,,MES-STB,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20909,MES,SUMATERA,Langkat,Batang Serangan,,MES-STB,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20910,MES,SUMATERA,Langkat,Brandan Barat,,MES-STB,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20911,MES,SUMATERA,Langkat,Salapian,,MES-BNJ,MES10000,MES20200,C,C,RING 2,SUM-UT
MES20912,MES,SUMATERA,Langkat,Sawit Seberang,,MES-STB,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20913,MES,SUMATERA,Langkat,Sei Lepan,,MES-STP,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20914,MES,SUMATERA,Langkat,Wampu,,MES-STB,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20915,MES,SUMATERA,Kab. Langkat,Binjai,CABANG,MES-BJI,MES10000,MES20915,C,C,RING 2,SUM-UT
MES20916,MES,SUMATERA,Langkat,Bahorok,,MES-BNJ,MES10000,MES20200,C,C,RING 2,SUM-UT
MES20917,MES,SUMATERA,Langkat,Kuala,,MES-BNJ,MES10000,MES20200,C,C,RING 2,SUM-UT
MES20918,MES,SUMATERA,Langkat,Sei Binge (Bingai),,MES-BNJ,MES10000,MES20200,C,C,RING 2,SUM-UT
MES20919,MES,SUMATERA,Langkat,Selesai,,MES-BNJ,MES10000,MES20200,C,C,RING 2,SUM-UT
MES20920,MES,SUMATERA,Langkat,Kutambaru,,MES-BNJ,MES10000,MES20200,C,C,RING 2,SUM-UT
MES20921,MES,SUMATERA,Langkat,Pematang Jaya,,MES-STP,MES10000,MES20900,C,C,RING 2,SUM-UT
MES20922,MES,SUMATERA,Langkat,Sirapit (Serapit),,MES-BNJ,MES10000,MES20200,C,C,RING 2,SUM-UT
MES21100,MES,SUMATERA,Serdang Bedagai,Tebing Tinggi,CABANG,MES-TBT,MES10000,MES21100,B,B,RING 2,SUM-UT
MES21119,MES,SUMATERA,Tebing Tinggi,Padang Hilir,,MES-TBT,MES10000,MES21100,B,B,RING 2,SUM-UT
MES21120,MES,SUMATERA,Tebing Tinggi,Padang Hulu,,MES-TBT,MES10000,MES21100,B,B,RING 2,SUM-UT
MES21121,MES,SUMATERA,Tebing Tinggi,Rambutan,,MES-TBT,MES10000,MES21100,B,B,RING 2,SUM-UT
MES21122,MES,SUMATERA,Tebing Tinggi,Bajenis,,MES-TBT,MES10000,MES21100,B,B,RING 2,SUM-UT
MES21500,MES,SUMATERA,Batu Bara,Limapuluh,,MES-SES,MES21508,MES21508,B,B,RING 2,SUM-UT
MES21501,MES,SUMATERA,Batu Bara,Medang Deras,,MES-SES,MES21508,MES21508,C,C,RING 2,SUM-UT
MES21502,MES,SUMATERA,Batu Bara,Datuk Lima Puluh,,MES-SES,MES21508,MES21508,B,C,RING 2,SUM-UT
MES21503,MES,SUMATERA,Batu Bara,Air Putih,,MES-SES,MES21508,MES21508,C,C,RING 2,SUM-UT
MES21504,MES,SUMATERA,Batu Bara,Talawi,,MES-SES,MES21508,MES21508,C,C,RING 2,SUM-UT
MES21505,MES,SUMATERA,Batu Bara,Tanjung Tiram,,MES-SES,MES21508,MES21508,C,C,RING 2,SUM-UT
MES21506,MES,SUMATERA,Batu Bara,Sei Balai,,MES-SES,MES21508,MES21508,C,C,RING 2,SUM-UT
MES21507,MES,SUMATERA,Batu Bara,Pesisir Lima Puluh,,MES-SES,MES21508,MES21508,B,C,RING 2,SUM-UT
